step_id,step_name,file_name,purpose,required_for_mvp,owner,status,notes
S00,Index,00_master_index.csv,Liste aller Dateien/Steps,yes,,,
S01,Project Config,01_project_config.csv,Globale Projekt-Settings,yes,,,
S02,Brand Voice,02_brand_voice_rules.csv,Tonalität/Verbote/Style-Regeln,yes,,,
S03,Entity Catalog,03_entity_catalog.csv,Entities für Schema-Konsistenz (Org/Person/Produkt),no,,,
S04,Offer Catalog,04_offer_catalog.csv,Angebote/USPs/CTAs/Proof je Sprache,yes,,,
S05,Page Types,05_page_types.csv,Welche Seitentypen unterstützt werden,yes,,,
S06,Blueprint Sections,06_blueprint_sections.csv,Pflicht-Sections je Page-Type,yes,,,
S07,Site Inventory,07_site_inventory.csv,Crawler-Ausgabe / bestehende Seiten,no,,,
S07a,Crawl Settings,07_crawl_settings.csv,Crawl-Settings pro Tenant,yes,,,
S08,SEMrush Keywords,08_semrush_keywords_import.csv,Manueller SEMrush-Import (CSV),yes,,,
S09,Keyword Clusters,09_keyword_clusters.csv,Keyword-Cluster/Intent/Entities,yes,,,
S10,Page Map,10_page_map.csv,Mapping Cluster -> Zielseite,yes,,,
S11,PageSpec,11_pagespec.csv,Single Source of Truth pro Seite (Input für Generation),yes,,,
S12,Internal Links,12_internal_link_plan.csv,"Interne Link-Planung (optional, aber empfohlen)",no,,,
S13,Schema Plan,13_schema_plan.csv,Schema-Typen & Props je Seite,no,,,
S14,Prompts Registry,14_prompts_registry.csv,Versionierte Prompts pro Stage,yes,,,
S15,Rules Registry,15_validation_rules_registry.csv,Validator-Regeln (PASS/WARN/FAIL),yes,,,
S16,Thresholds,16_validation_thresholds.csv,Messwerte/Schwellen für Validator,no,,,
S90,Test Suite,90_test_suite.csv,Herz-und-Nieren Tests (Expected Results),yes,,,
S91,Test Prompts,91_test_prompts.csv,Prompt-Texte für Tests,yes,,,
