topic_id,area,area_name,topic_name,edge_optional,scope,page_types,status,supersedes_topic_id,doc_md_path,rules_csv_path,qa_rules_csv_path,prompt_fragment_path,config_paths,code_modules,owner,review_cycle_days,notes
a-seo-charter,A,Strategy & Governance,"SEO Charter (Scope, Prinzipien, Ziele)",no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-seo-charter/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-seo-charter/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-seo-charter/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-seo-charter/v1/prompt_fragment.md,,,operator,180,
a-kpi-tree,A,Strategy & Governance,KPI Tree (Business → SEO → Page),no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-kpi-tree/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-kpi-tree/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-kpi-tree/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-kpi-tree/v1/prompt_fragment.md,,,operator,180,
a-definition-of-done,A,Strategy & Governance,Definition of Done pro Page Type,no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-definition-of-done/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-definition-of-done/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-definition-of-done/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-definition-of-done/v1/prompt_fragment.md,,,operator,180,
a-raci-ownership,A,Strategy & Governance,RACI & Ownership,no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-raci-ownership/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-raci-ownership/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-raci-ownership/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-raci-ownership/v1/prompt_fragment.md,,,operator,180,
a-qa-gates,A,Strategy & Governance,QA Gates & Release Checklists,no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-qa-gates/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-qa-gates/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-qa-gates/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-qa-gates/v1/prompt_fragment.md,,,operator,180,
a-backlog-priority,A,Strategy & Governance,SEO Backlog & Priorisierungssystem,no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-backlog-priority/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-backlog-priority/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-backlog-priority/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-backlog-priority/v1/prompt_fragment.md,,,operator,180,
a-competitor-baseline,A,Strategy & Governance,Competitor Baseline & SERP-Benchmarking,no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-competitor-baseline/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-competitor-baseline/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-competitor-baseline/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-competitor-baseline/v1/prompt_fragment.md,,,operator,180,
a-authority-governance,A,Strategy & Governance,Authority/Off-Page Governance (Digital PR/Links),yes,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-authority-governance/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-authority-governance/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-authority-governance/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-authority-governance/v1/prompt_fragment.md,,,operator,180,
a-change-management,A,Strategy & Governance,"Change-/Release-Management für SEO (Rollouts, Rollbacks, Freeze)",no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-change-management/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-change-management/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-change-management/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-change-management/v1/prompt_fragment.md,,,operator,180,
a-incident-response,A,Strategy & Governance,SEO Incident Response (Traffic Drop / Indexing Outage Playbooks),no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-incident-response/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-incident-response/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-incident-response/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-incident-response/v1/prompt_fragment.md,,,operator,180,
