key,value,notes
site_state,existing,existing|new
base_domain,conradiusdesign.com,
brand_name,Conradius Design,
brand_description,SEO Beratung und Content Strategie für KMU.,
primary_goal,leads,
languages,de,
regions,default,
url_language_strategy,"subfolders (/de/,/en/)",
formality_de,sie,
competitor_urls,"competitor1.com,competitor2.com",
allow_external_sources,no,
semrush_import_available,no,
translation_strategy,mixed,
has_glossary,no,
hreflang_strict,yes,
has_locations,no,
is_ecommerce,no,
gsc_enabled,yes,
gsc_site_url,https://www.conradiusdesign.com/,
gsc_connected,yes,
gsc_connected_at,2026-01-27T10:45:08.923Z,
openai_enabled,yes,
