question_id,level,module,section,question_text,required,condition_json,answer_type,allowed_values,default_value,target_files,target_fields,transform_hint,priority,notes
WS_DOMAIN,website,core,identity,Welche Domain/Projektname hat die Website? (z.B. example.com),yes,,text,,,01_project_config.csv,base_domain,upsert_kv,10,Wird als tenant_domain genutzt.
WS_BRAND_NAME,website,core,identity,Wie heißt die Brand / Firma (öffentlicher Name)?,yes,,text,,,01_project_config.csv,brand_name,upsert_kv,12,"Für Meta, Schema, Footer."
WS_BUSINESS_DESC,website,core,identity,Kurzbeschreibung (1 Satz): Was macht das Unternehmen?,yes,,text,,,01_project_config.csv,brand_description,upsert_kv,14,"Kein Marketing-Overkill, klar & präzise."
WS_PRIMARY_GOAL,website,core,goals,Primäres Ziel der Website?,yes,,single_select,leads|sales|demo|signup|calls|store|newsletter|downloads,leads,01_project_config.csv,primary_goal,upsert_kv,16,Steuert CTA-Logik in Blueprints.
WS_LANGUAGES,website,core,i18n,Welche Sprachen werden unterstützt?,yes,,multi_select,de|en|other,de,01_project_config.csv,languages,upsert_kv,18,Wenn 'other': später erweitern.
WS_REGIONS,website,core,i18n,"Welche Regionen/Länder sind relevant? (z.B. DE,AT,CH oder US,UK)",yes,,text,,default,01_project_config.csv,regions,upsert_kv,20,Optional; hilft bei Local/International Rules.
WS_URL_STRATEGY,website,international,i18n,Wie ist die URL-Struktur für Sprachen?,yes,"{""any"": [{""qid"": ""WS_LANGUAGES"", ""op"": ""contains"", ""value"": ""de""}, {""qid"": ""WS_LANGUAGES"", ""op"": ""contains"", ""value"": ""en""}], ""note"": ""Nur relevant bei DE+EN (oder >1 Sprache).""}",single_select,"subfolders (/de/,/en/)|subdomains (de.,en.)|separate_domains","subfolders (/de/,/en/)",01_project_config.csv,url_language_strategy,upsert_kv,30,Basis für hreflang/canonical checks.
WS_FORMALITY_DE,website,core,voice,Ansprache Deutsch?,yes,"{""qid"": ""WS_LANGUAGES"", ""op"": ""contains"", ""value"": ""de""}",single_select,du|sie,sie,01_project_config.csv,formality_de,upsert_kv,32,"Wenn DE nicht aktiv, ignorieren."
WS_FORMALITY_EN,website,core,voice,Ansprache Englisch? (informal/formal),yes,"{""qid"": ""WS_LANGUAGES"", ""op"": ""contains"", ""value"": ""en""}",single_select,informal|formal,informal,01_project_config.csv,formality_en,upsert_kv,34,Optional.
WS_TOV_ADJECTIVES,website,core,voice,"Tone of Voice: 3–7 Adjektive (z.B. klar, direkt, professionell).",yes,,text,,,02_brand_voice_rules.csv,rule_text,to_rule_rows,36,Dev: mappt zu mehreren Regeln/Tags.
WS_TOV_DO,website,core,voice,Tone of Voice DOs: Was soll unbedingt eingehalten werden? (Stichpunkte),yes,,text,,,02_brand_voice_rules.csv,rule_text,to_rule_rows,38,"z.B. konkret, Beispiele, kurze Sätze."
WS_TOV_DONT,website,core,voice,Tone of Voice DON'Ts: Was ist verboten? (Stichpunkte + Phrasen),yes,,text,,,02_brand_voice_rules.csv,rule_text,to_rule_rows,40,"z.B. 'revolutionär', 'garantiert', Floskeln."
WS_BANNED_CLAIMS,website,core,compliance,"Verbotene Claims/Behauptungen (z.B. Garantien, Nr.1, ohne Beleg).",yes,,text,,,02_brand_voice_rules.csv,rule_text,to_rule_rows,42,Wird als FAIL-Regel in anti_ai_tone/voice genutzt.
WS_OFFERS_LIST,website,core,offers,Welche Hauptleistungen/Produkte gibt es? (Liste),yes,,text,,,04_offer_catalog.csv,offer_name,to_offer_rows,50,Dev erzeugt offer_id automatisch oder du gibst es an.
WS_USPS,website,core,offers,USPs: Warum sollte man euch wählen? (3–10),yes,,text,,,04_offer_catalog.csv,short_promise|detailed_description,map_to_usps,52,Keine unbelegten Superlative.
WS_PROOF_ASSETS,website,core,proof,"Welche Proof Assets gibt es? (Referenzen, Case Studies, Logos, Zahlen nur echt)",yes,,text,,,04_offer_catalog.csv,proof_assets,split_comma,54,Optional aber sehr wertvoll.
WS_PRICING_NOTES,website,core,offers,Gibt es Preis-/Paketinfos oder Positionierung (Premium/Low-cost)?,yes,,text,,,04_offer_catalog.csv,pricing_notes,,56,Optional.
WS_PRIMARY_CTA,website,core,cta,Primärer CTA (Text) z.B. 'Beratung buchen' / 'Angebot anfragen',yes,,text,,,04_offer_catalog.csv,primary_cta,,58,Global default CTA.
WS_SECONDARY_CTA,website,core,cta,Sekundärer CTA (Text) z.B. 'Case Studies ansehen',yes,,text,,,04_offer_catalog.csv,secondary_cta,,60,Optional.
WS_COMPANY_LEGAL_NAME,website,schema,entities,"Rechtsname (für Impressum/Schema), falls abweichend von Brand.",yes,,text,,,03_entity_catalog.csv,name,,62,Optional.
WS_CONTACT_EMAIL,website,schema,entities,Kontakt-E-Mail,yes,,text,,,03_entity_catalog.csv,email,,64,Für Contact/Schema.
WS_CONTACT_PHONE,website,schema,entities,Telefonnummer (falls vorhanden),yes,,text,,,03_entity_catalog.csv,phone,,66,Optional.
WS_ADDRESS,website,schema,entities,"Adresse (Straße, PLZ, Stadt, Land) falls vorhanden",yes,,text,,,03_entity_catalog.csv,street|postal_code|city|country,parse_address,68,Für LocalBusiness/Organization.
WS_SOCIAL_URLS,website,schema,entities,Social/Profiles URLs (comma-separated),yes,,text,,,03_entity_catalog.csv,same_as_urls,split_comma,70,sameAs in Schema.
WS_LOGO_URL,website,schema,entities,Logo URL (öffentlich erreichbar),yes,,text,,,03_entity_catalog.csv,logo_url,,72,"Optional, aber hilfreich."
SEO_SEED_KEYWORDS,website,seo_setup,keywords,Seed Keywords (10–50) – comma-separated,yes,,text,,,08_semrush_keywords_import.csv,keyword,split_comma_to_rows,80,Dient als Start für Cluster.
SEO_COMPETITORS,website,seo_setup,research,Wettbewerber-URLs (3–10) – comma-separated,yes,,text,,,01_project_config.csv,competitor_urls,upsert_kv,82,Optional.
SEO_ALLOW_EXTERNAL_SOURCES,website,seo_setup,policies,Dürfen externe Quellen im Content verwendet werden?,yes,,single_select,yes|no,no,01_project_config.csv,allow_external_sources,upsert_kv,84,"Wenn ja, nutzt allowlist."
