rule_id,language,scope,severity,rule_type,rule_text,examples_allowed,notes
ws_tov_adjectives_1,de,global,warn,intake,klar,,
ws_tov_adjectives_2,de,global,warn,intake,präzise,,
ws_tov_do_1,de,global,warn,intake,Konkrete Beispiele nennen,,
ws_tov_dont_1,de,global,warn,intake,Vage Versprechen,,
ws_banned_claims_1,de,global,warn,intake,Beste Agentur weltweit,,
ws_tov_adjectives_1,de,global,warn,intake,klar,,
ws_tov_adjectives_2,de,global,warn,intake,präzise,,
ws_tov_do_1,de,global,warn,intake,Konkrete Beispiele nennen,,
ws_tov_dont_1,de,global,warn,intake,Vage Versprechen,,
ws_banned_claims_1,de,global,warn,intake,Beste Agentur weltweit,,
ws_tov_adjectives_1,de,global,warn,intake,klar,,
ws_tov_adjectives_2,de,global,warn,intake,präzise,,
ws_tov_do_1,de,global,warn,intake,Konkrete Beispiele nennen,,
ws_tov_dont_1,de,global,warn,intake,Vage Versprechen,,
ws_banned_claims_1,de,global,warn,intake,Beste Agentur weltweit,,
ws_tov_adjectives_1,de,global,warn,intake,klar,,
ws_tov_adjectives_2,de,global,warn,intake,präzise,,
ws_tov_do_1,de,global,warn,intake,Konkrete Beispiele nennen,,
ws_tov_dont_1,de,global,warn,intake,Vage Versprechen,,
ws_banned_claims_1,de,global,warn,intake,Beste Agentur weltweit,,
ws_tov_adjectives_1,de,global,warn,intake,klar,,
ws_tov_adjectives_2,de,global,warn,intake,präzise,,
ws_tov_do_1,de,global,warn,intake,Konkrete Beispiele nennen,,
ws_tov_dont_1,de,global,warn,intake,Vage Versprechen,,
ws_banned_claims_1,de,global,warn,intake,Beste Agentur weltweit,,
ws_tov_adjectives_1,de,global,warn,intake,klar,,
ws_tov_adjectives_2,de,global,warn,intake,präzise,,
ws_tov_do_1,de,global,warn,intake,Konkrete Beispiele nennen,,
ws_tov_dont_1,de,global,warn,intake,Vage Versprechen,,
ws_banned_claims_1,de,global,warn,intake,Beste Agentur weltweit,,
ws_tov_adjectives_1,de,global,warn,intake,klar,,
ws_tov_adjectives_2,de,global,warn,intake,präzise,,
ws_tov_do_1,de,global,warn,intake,Konkrete Beispiele nennen,,
ws_tov_dont_1,de,global,warn,intake,Vage Versprechen,,
ws_banned_claims_1,de,global,warn,intake,Beste Agentur weltweit,,
